Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,Customer Review,Sentiment,Emotion,text_len,text_norm,text_no_stop
Phones and Tablets,ROBOT RT-CH12 CAR MOUNT PHONE HP HOLDER DASHBOARD KACA MOBIL AUTOMATIC,Jakarta Utara,99000,4.9,5770,3631,3,"mudah copot di dasbord,lemnya kgk kuat",Negative,Fear,6,"mudah copot di dasbord,lemnya kgk kuat","mudah copot dasbord,lemnya kgk kuat"
Toys and Hobbies,Mainan Anak CROCODILE DENTIST GAME / MAINAN GIGI BUAYA - GIGIT BUAYA,Jakarta Barat,27000,4.7,11000,3636,1,"PRODUK CACAT KEPALANYA PENYOK, MINTA TUKAR GAK DIKASIH",Negative,Anger,8,"produk cacat kepalanya penyok, minta tukar gak dikasih","produk cacat kepalanya penyok, minta tukar gak dikasih"
Men's Fashion,CLUTCH PRIA HANDBAG PRIA WANITA ORGANIZER BAG POUCH BAG TAS AKSESORIES - BLACK GREY,Kota Tangerang,72500,4.8,4079,1823,5,produk yg bagus walau datang nya telat banget tapi gak kecewa lah sama produk dengan harga yg sangat murah,Positive,Happy,19,produk yg bagus walau datang nya telat banget tapi gak kecewa lah sama produk dengan harga yg sangat murah,produk yg bagus walau datang telat banget tapi gak kecewa sama produk harga yg sangat murah
Carpentry,Kepala Portable Gas Torch Flame Gun Las Blow Torch Pematik Gas.,Jakarta Utara,21123,4.9,7634,1361,1,"Barli rutin tiap minguu 20pcs yg kiriman terakhir semua pada rusak, kendor pada bagian baut2 nya, cuma ada beberapa yg bisa digunakan ( bahaya bocor gas dari bawah bis menyambar karena pada bocor) di tanyakan pada penjual tapi sayangnya ga mau tau cuma jawab GA ADA GARANSI! costumer lagi yg dirugikan Krn penjual yg ga mau tanggung jawab dari barang yg dijualnya, cuma pengen CUAN tapi ga mau tau keluhan costumer nya. padahal sudah saya percaya tiap pengambilan pasti ke toko ini tapi sayang nya ga ada pelayanan yg bisa memuaskan costumer nya",Negative,Anger,93,"barli rutin tiap minguu 20pcs yg kiriman terakhir semua pada rusak, kendor pada bagian baut2 nya, cuma ada beberapa yg bisa digunakan ( bahaya bocor gas dari bawah bis menyambar karena pada bocor) di tanyakan pada penjual tapi sayangnya ga mau tau cuma jawab ga ada garansi! costumer lagi yg dirugikan krn penjual yg ga mau tanggung jawab dari barang yg dijualnya, cuma pengen cuan tapi ga mau tau keluhan costumer nya. padahal sudah saya percaya tiap pengambilan pasti ke toko ini tapi sayang nya ga ada pelayanan yg bisa memuaskan costumer nya","barli rutin tiap minguu 20pcs yg kiriman terakhir semua rusak, kendor bagian baut2 nya, cuma beberapa yg bisa digunakan ( bahaya bocor gas bawah bis menyambar bocor) tanyakan penjual tapi sayangnya ga mau tau cuma jawab ga garansi! costumer lagi yg dirugikan krn penjual yg ga mau tanggung jawab barang yg dijualnya, cuma pengen cuan tapi ga mau tau keluhan costumer nya. padahal sudah saya percaya tiap pengambilan pasti toko tapi sayang ga pelayanan yg bisa memuaskan costumer"
Animal Care,Promo: BOLT makanan kucing kering rasa Tuna REPACK,Jakarta Barat,19500,5.0,19300,4676,5,mantap proses dan pengiriman sangat cepat pokonya puas !!! dah gitu aja,Positive,Love,12,mantap proses dan pengiriman sangat cepat pokonya puas !!! dah gitu aja,mantap proses pengiriman sangat cepat pokonya puas !!! dah gitu
Men's Fashion,Stayhoops - Tali Masker / Strap Masker / Kalung Masker - Cyanea Strap,Bandung,44900,4.8,10381,4513,5,Diterima dengan baik dalam bungkusan yang rapi. Sekarang jadi strap masker favorit,Positive,Happy,12,diterima dengan baik dalam bungkusan yang rapi. sekarang jadi strap masker favorit,diterima baik dalam bungkusan rapi. sekarang strap masker favorit
Books,Buku MASTER SUKSES CAT CPNS 2021-2022 UPDATE SUPERLENGKAP HOTS,Jakarta Pusat,135000,4.9,644,404,3,"pengiriman lama, lokasi toko saya di jakarta, ternyata di kirim dari yogyakarta",Negative,Anger,12,"pengiriman lama, lokasi toko saya di jakarta, ternyata di kirim dari yogyakarta","pengiriman lama, lokasi toko saya jakarta, ternyata kirim yogyakarta"
Food and Drink,Marumiya Rice Topping Furikake Abon Tabur Jepang - GOMASHIO 45gr,Jakarta Timur,17500,5.0,1367,280,5,"bagus produknya, enak marumiya rice topping furikake nya, bisa juga untuk bubur, harga terjangkau, recommended",Positive,Love,15,"bagus produknya, enak marumiya rice topping furikake nya, bisa juga untuk bubur, harga terjangkau, recommended","bagus produknya, enak marumiya rice topping furikake nya, bisa juga bubur, harga terjangkau, recommended"
Office & Stationery,Deli Notebook A5 72 Lembar dengan pinggiran plastik T3272 - alpaca,Kab. Tangerang,12900,4.9,4084,1018,1,barang tidak sesuai dengan jumlah pesanan,Negative,Fear,6,barang tidak sesuai dengan jumlah pesanan,barang tidak sesuai jumlah pesanan
Women's Fashion,Rok Plisket - Rok Wanita Bahan Premium - CREAM,Jakarta Utara,62500,4.9,3913,1607,2,"brang nya kurang 1 item, beli 3 yg dtng 2",Negative,Fear,10,"brang nya kurang 1 item, beli 3 yg dtng 2","brang 1 item, beli 3 yg dtng 2"
