Category,Product Name,text_norm,Sentiment,Emotion,Customer Rating
Phones and Tablets,ROBOT RT-CH12 CAR MOUNT PHONE HP HOLDER DASHBOARD KACA MOBIL AUTOMATIC,"mudah copot di dasbord,lemnya kgk kuat",Negative,Fear,3
Toys and Hobbies,Mainan Anak CROCODILE DENTIST GAME / MAINAN GIGI BUAYA - GIGIT BUAYA,"produk cacat kepalanya penyok, minta tukar gak dikasih",Negative,Anger,1
Men's Fashion,CLUTCH PRIA HANDBAG PRIA WANITA ORGANIZER BAG POUCH BAG TAS AKSESORIES - BLACK GREY,produk yg bagus walau datang nya telat banget tapi gak kecewa lah sama produk dengan harga yg sangat murah,Positive,Happy,5
Carpentry,Kepala Portable Gas Torch Flame Gun Las Blow Torch Pematik Gas.,"barli rutin tiap minguu 20pcs yg kiriman terakhir semua pada rusak, kendor pada bagian baut2 nya, cuma ada beberapa yg bisa digunakan ( bahaya bocor gas dari bawah bis menyambar karena pada bocor) di tanyakan pada penjual tapi sayangnya ga mau tau cuma jawab ga ada garansi! costumer lagi yg dirugikan krn penjual yg ga mau tanggung jawab dari barang yg dijualnya, cuma pengen cuan tapi ga mau tau keluhan costumer nya. padahal sudah saya percaya tiap pengambilan pasti ke toko ini tapi sayang nya ga ada pelayanan yg bisa memuaskan costumer nya",Negative,Anger,1
Animal Care,Promo: BOLT makanan kucing kering rasa Tuna REPACK,mantap proses dan pengiriman sangat cepat pokonya puas !!! dah gitu aja,Positive,Love,5
Men's Fashion,Stayhoops - Tali Masker / Strap Masker / Kalung Masker - Cyanea Strap,diterima dengan baik dalam bungkusan yang rapi. sekarang jadi strap masker favorit,Positive,Happy,5
Books,Buku MASTER SUKSES CAT CPNS 2021-2022 UPDATE SUPERLENGKAP HOTS,"pengiriman lama, lokasi toko saya di jakarta, ternyata di kirim dari yogyakarta",Negative,Anger,3
Food and Drink,Marumiya Rice Topping Furikake Abon Tabur Jepang - GOMASHIO 45gr,"bagus produknya, enak marumiya rice topping furikake nya, bisa juga untuk bubur, harga terjangkau, recommended",Positive,Love,5
Office & Stationery,Deli Notebook A5 72 Lembar dengan pinggiran plastik T3272 - alpaca,barang tidak sesuai dengan jumlah pesanan,Negative,Fear,1
Women's Fashion,Rok Plisket - Rok Wanita Bahan Premium - CREAM,"brang nya kurang 1 item, beli 3 yg dtng 2",Negative,Fear,2
Food and Drink,Artisan Bagel 4pcs - Mix of 4,roti keras gak enak,Negative,Anger,1
Food and Drink,Pie Susu Dhian Bali,"beli 2 kotak isi total 20 buah pie terdapat 5 buah pie yang sudah jamuran. padahal paket langsung dibuka sesaat setelah diantar kurir dan expire date juga masih 1 bulan lebih. coba cek ulasan, banyak pembeli juga mengalami kendala pie berjamur. jelek sekali kontrol kualitas pie susu ini. kasian reputasi toko ini ikutan rusak gara-gara produk yang tidak dijaga reputasinya oleh pemilik produk. maaf ya kaka penjual, ini ulasan jujur. mungkin bisa disampaikan kepada produsen produk agar memperbaiki kontrol kualitas produknya.",Negative,Fear,1
Other Products,SNEAKERS DEPT ADDITIONAL DOUBLE BOX,"saya udah pesen, tp gak ada :( ini emg kesalahan saya pas mesen atau gimana?? udah bayar box tp gak ada box kan sedih...boleh diulas bosku",Negative,Sadness,1
Mother and Baby,Mama's Choice Active-wear Maternity Legging - Legging Hamil Mama's Cho - Hitam + pengait,"aduh parah deh kualitasnya . respons konfirmasi order sampe 2 hari , paa barang datang baru jg dipakai 2 jam masa bolong pas bagian miss v nya ..ckckckc kecewa banget!!! trus bahannya jg nerawang alias tipis dan pengait bagian perutnya jg gmpang lepas ..hadeuh kapok beli produk mamas choice deh",Negative,Anger,1
Phones and Tablets,Samsung Galaxy A12 4/128 GB Garansi Resmi SEIN - Hitam,barangnya original ??. warna sesuai pesanan. suara jernih. penjualnya ramah banget. packaging aman ??. respon penjualnya top.,Positive,Happy,5
Gaming,Minecraft Windows 10 Edition PC Original - 62e2 - DVD-DL,"akhirnya bisa main mc online bareng temen, sellernya benar-benar baik ngasih panduannya jelas banget. mantab pokoknya",Positive,Love,5
Mother and Baby,Kodomo Baby Tisu Basah Anti Bacterial 50 sheets,layanan pengiriman kurang memuaskan..kardus dlm keadaan penyok. untung bagian dalam tidak pecah..secara saya order product cair.,Negative,Sadness,2
Tour and Travel,DUFAN (Dunia Fantasi) - REGULER WDAY,sukaaa bangett kakanya ramahh bgt dan responsif jugaaaa!!!! thank uuu,Positive,Love,5
