Category,Product Name,text_no_stop,Sentiment,Emotion,Customer Rating
Phones and Tablets,ROBOT RT-CH12 CAR MOUNT PHONE HP HOLDER DASHBOARD KACA MOBIL AUTOMATIC,"mudah copot dasbord,lemnya kgk kuat",Negative,Fear,3
Toys and Hobbies,Mainan Anak CROCODILE DENTIST GAME / MAINAN GIGI BUAYA - GIGIT BUAYA,"produk cacat kepalanya penyok, minta tukar gak dikasih",Negative,Anger,1
Men's Fashion,CLUTCH PRIA HANDBAG PRIA WANITA ORGANIZER BAG POUCH BAG TAS AKSESORIES - BLACK GREY,produk yg bagus walau datang telat banget tapi gak kecewa sama produk harga yg sangat murah,Positive,Happy,5
Carpentry,Kepala Portable Gas Torch Flame Gun Las Blow Torch Pematik Gas.,"barli rutin tiap minguu 20pcs yg kiriman terakhir semua rusak, kendor bagian baut2 nya, cuma beberapa yg bisa digunakan ( bahaya bocor gas bawah bis menyambar bocor) tanyakan penjual tapi sayangnya ga mau tau cuma jawab ga garansi! costumer lagi yg dirugikan krn penjual yg ga mau tanggung jawab barang yg dijualnya, cuma pengen cuan tapi ga mau tau keluhan costumer nya. padahal sudah saya percaya tiap pengambilan pasti toko tapi sayang ga pelayanan yg bisa memuaskan costumer",Negative,Anger,1
Animal Care,Promo: BOLT makanan kucing kering rasa Tuna REPACK,mantap proses pengiriman sangat cepat pokonya puas !!! dah gitu,Positive,Love,5
Men's Fashion,Stayhoops - Tali Masker / Strap Masker / Kalung Masker - Cyanea Strap,diterima baik dalam bungkusan rapi. sekarang strap masker favorit,Positive,Happy,5
Books,Buku MASTER SUKSES CAT CPNS 2021-2022 UPDATE SUPERLENGKAP HOTS,"pengiriman lama, lokasi toko saya jakarta, ternyata kirim yogyakarta",Negative,Anger,3
Food and Drink,Marumiya Rice Topping Furikake Abon Tabur Jepang - GOMASHIO 45gr,"bagus produknya, enak marumiya rice topping furikake nya, bisa juga bubur, harga terjangkau, recommended",Positive,Love,5
Office & Stationery,Deli Notebook A5 72 Lembar dengan pinggiran plastik T3272 - alpaca,barang tidak sesuai jumlah pesanan,Negative,Fear,1
Women's Fashion,Rok Plisket - Rok Wanita Bahan Premium - CREAM,"brang 1 item, beli 3 yg dtng 2",Negative,Fear,2
Food and Drink,Artisan Bagel 4pcs - Mix of 4,roti keras gak enak,Negative,Anger,1
Food and Drink,Pie Susu Dhian Bali,"beli 2 kotak isi total 20 buah pie terdapat 5 buah pie sudah jamuran. padahal paket langsung dibuka sesaat setelah diantar kurir expire date juga masih 1 bulan lebih. coba cek ulasan, banyak pembeli juga mengalami kendala pie berjamur. jelek sekali kontrol kualitas pie susu ini. kasian reputasi toko ikutan rusak gara-gara produk tidak dijaga reputasinya pemilik produk. maaf kaka penjual, ulasan jujur. mungkin bisa disampaikan kepada produsen produk agar memperbaiki kontrol kualitas produknya.",Negative,Fear,1
Other Products,SNEAKERS DEPT ADDITIONAL DOUBLE BOX,"saya pesen, tp gak :( emg kesalahan saya pas mesen gimana?? bayar box tp gak box sedih...boleh diulas bosku",Negative,Sadness,1
Mother and Baby,Mama's Choice Active-wear Maternity Legging - Legging Hamil Mama's Cho - Hitam + pengait,"aduh parah deh kualitasnya . respons konfirmasi order sampe 2 hari , paa barang datang baru jg dipakai 2 jam masa bolong pas bagian miss v ..ckckckc kecewa banget!!! trus bahannya jg nerawang alias tipis pengait bagian perutnya jg gmpang lepas ..hadeuh kapok beli produk mamas choice deh",Negative,Anger,1
Phones and Tablets,Samsung Galaxy A12 4/128 GB Garansi Resmi SEIN - Hitam,barangnya original ??. warna sesuai pesanan. suara jernih. penjualnya ramah banget. packaging aman ??. respon penjualnya top.,Positive,Happy,5
Gaming,Minecraft Windows 10 Edition PC Original - 62e2 - DVD-DL,"akhirnya bisa main mc online bareng temen, sellernya benar-benar baik ngasih panduannya jelas banget. mantab pokoknya",Positive,Love,5
Mother and Baby,Kodomo Baby Tisu Basah Anti Bacterial 50 sheets,layanan pengiriman memuaskan..kardus dlm keadaan penyok. untung bagian dalam tidak pecah..secara saya order product cair.,Negative,Sadness,2
Tour and Travel,DUFAN (Dunia Fantasi) - REGULER WDAY,sukaaa bangett kakanya ramahh bgt responsif jugaaaa!!!! thank uuu,Positive,Love,5
Food and Drink,Abon sapi MESRAN manis 250gr Oleh tradisional khas SOLO enak gurih - manis,"beli abon 2 srundeng 2 tapi salah dikasih srundeng semua 4 jd ga dpt abon krn klo retur hrs ngirim brg yg salah, ribet..",Negative,Anger,1
Kids and Baby Fashion,Tas Sekolah Anak SD Laki 3 in 1 Cowok - Fendi series - Hitam,barang tidak sesuai gambar,Negative,Fear,1
Sport,MINISO Matras Yoga Pola Garis Tubuh 5mm Matras Yoga Kebugaran Rumah - Abu-abu,pengiriman lama sekali,Negative,Anger,1
Computers and Laptops,SanDisk Cruzer Blade 16GB CZ50 Flashdisk,"waw murah bangetttt, packingnya rapih, produknya bagus keren mantap. sangat uhuuy pisan deh pokoknya hehehehehe",Positive,Love,5
Tour and Travel,Pullman Ciawi Vimala Hills Resort and Spa Hotel,"highly recommend seller, sangat ramah komunikatif dalam memberikan konsultasi serta sabar dalam menjelaskan detail pertanyaan. proses ordering hingga terbit vouchernya sangat cepat. good job ????????",Positive,Love,5
Household,Plastik Buble Wrap - BUBBLEWRAP,sedikit masukan klw utk buble warp agar bagian dalam juga bungkus jika pemesanan brg yg dibungkus bersamaan dgn lampun yg mudah pecah. terima kasih????,Negative,Fear,3
Automotive,Orios LED H6/M5 DC 6000K Lampu Motor,"nyesel beli , kagak terang",Negative,Fear,1
Office & Stationery,"Notebook #Binding/ Custom/ Planner Dotted/ Grid/ Journal/ Agenda - garis, Hitam","pengiriman lama, barang cacat tolong diperbaiki layanan !",Negative,Anger,1
Kids and Baby Fashion,BAJU SETELAN ANAK LAKI-LAKI ASTRONOT UK 1-10 TAHUN - 3 TAHUN,bahannya tipis bgt. dipake panas sablonan juga jelek.,Negative,Anger,2
Toys and Hobbies,Kereta Thomas Mainan Thomas,"merek kereta beda banget sama gambar yg dijual. merek yg dijual keluaran china. bukan merek thomas train set, tapi thamos train set. rel kretanya juga gk bisa rata stabil. kalo nyari kualitas mending cari lain. saya ketipu sebenrnya. gk liat review dulu. mgkn kalo penjualnya ngasih barang yg sesuai gambar saya bakal puas.",Negative,Fear,1
Mother and Baby,Gendongan Bayi Depan Hipseat / Baby Carrier / Hipseat Bayi Tuturu - Hitam,barang tidak ok,Negative,Sadness,1
Body Care,Lux Hand Sanitizer Jasmine 50ml,"parah banget responnya, komplain barang kurang, disuruh via wa, sudah wa disuruh lagi lewat marketplace, ampun dah, sejelek pelayanan sekelas official unilever",Negative,Anger,1
Mother and Baby,Merries Pants Positive Skin L 35,barang sampai diterima sesuai pesanan.. top markotop gan.. mantap pkk gan.. thx u gan.. ????,Positive,Happy,5
Beauty,Madame Gie Silhouette Eyeliner Small (48 Jam) - Lime Green,"kalo mau kirim baca note dong,...masa tiga2 dikirim warna sama,..trus fungsinya catatan buat apa",Negative,Anger,1
Gaming,PS4 Naruto Shippuden Ultimate Ninja STORM 4 : Road to Boruto Reg 3 - Reg All USA,"kelengkapan sesuai. game seru!. gaming terbaik.. kesekian kalinya beli dsni tentu aj selalu memuaskan, memuaskan memuaskan... intinya seller : responsif (seller ramah, komunikatif bgt dah), packing jg rapi bgt (proteksi pengiriman sangat terjaga), barang sesuai (original dong pastinya), proses pengiriman cepat, terus dapet lagi bonus tumbler luar biasa sekali, thanks yh gan... buat lo mau beli dsni, langsung aj, gk ush ragu2, sangat recomended sekali, tidak akan mengecewakan... perfect, mantap, top markotop, the best of the best... sekali lagi thanks yh gan, sukses selalu dah ????????????????????????????",Positive,Love,5
Gaming,Stick PS3 ori mesin Sixaxis (non getar),paketany ru nyampe lgsung cek salah satu stik na analog na rusak...diorder yg ke-2x na...tolong jk order lg tolong dicek kondisi stiknya sblum dikirim...terimakasih,Negative,Fear,3
Muslim Fashion,Konektor Tali Masker Kristal Hijab - Silver,bagus banget,Positive,Love,5
Computers and Laptops,Charger Adaptor MacBook Pro 2008 2009 2010 2011 2012 Magsafe 1 60W ORI,"sangat mengecewakan, barang yg dikirim tidak sesuai konfirmasi, sampai harus bolak-balik 2 kali, saya harus nanggung 6 x ongkos kirim....sangat mengecewakan",Negative,Anger,1
