Category,Product Name,text_no_stop,Sentiment,Emotion,Customer Rating
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,alhamdulillah berfungsi baik. packaging aman. respon cepat ramah. seller kurir amanah,Positive,Happy,5
Computers and Laptops,PAKET LISENSI WINDOWS 10 PRO DAN OFFICE 2019 ORIGINAL + BONUS,"barang bagus respon cepat, harga bersaing yg lain.",Positive,Happy,5
Computers and Laptops,SSD Midasforce 128 Gb - Tanpa Caddy,"barang bagus, berfungsi baik, seler ramah, pengiriman cepat",Positive,Happy,5
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,bagus sesuai harapan penjual juga ramah. trimakasih pelapak ??,Positive,Happy,5
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,"barang bagus, pengemasan aman, dapat berfungsi baik",Positive,Happy,5
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,"barang bagus, seller ramah..",Positive,Happy,5
Computers and Laptops,Kepala Colokan Listrik Charger Macbook untuk colokan Indonesia,mantap paten joss,Positive,Happy,5
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,"works fine. respon seller cepat, barang berfungsi baik. recommended.",Positive,Happy,5
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,barang bagus.. segel.. utuh.. original.. berfungsi bener.. seller respon ajib.. cepat amir... uda gt kasi sarannya pas banget lg kebutuhan.. mantabbb,Positive,Happy,5
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,barang datang berfungsi baik terlihat bagus kali lampu birunya.,Positive,Happy,5
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,"pengiriman super cepat, barang bagus, recommended seller, thanks",Positive,Happy,5
Computers and Laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,alhamdulillah barangnya nyampe... d coba bagus... semoga awet... terima kasih seller kurir tokopedia...,Positive,Happy,5
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,"penjual amanah, responsif. kabel berfungsi baik. pengiriman cepat. terima kasih.",Positive,Happy,5
