Category,Product Name,Customer Rating,Sentiment,Emotion,text
Animal Care,PURR+ Premium Pet Spray 500ML Antiseptic Ion-Activated Water,5,Positive,Happy,"respon seller dan pengiriman cepat, paket aman, produk baru dicoba dan blm bener� tau efektif atau ngga, botol aman gak bocor dan sprayernya bagus. thanks a lot seller!"
Camera,BOYA BY-M1 Lavalier Clip on Mic Microphone for DSLR Camera Smartphone,5,Positive,Happy,"proses kemas-kirim : lumayan cpt. packaging : bubble wrap tipis. sesama jakarta masih aman. dus agak penyok. kualitas barang : aman, berfungsi. compatoble dg cam iphone 8+ tanpa apps tambahan. tapi kalau mau dengar hasil rekaman copot mic dulu"
Body Care,Lux Hand Sanitizer Jasmine 50ml,1,Negative,Sadness,"zooonk, produk ini tdk ada dlm paket yg sy order?? kecewa sm toko ini ??"
Sport,Speeds Door Chinning Bar / Pull UP bar Speeds / Iron Gym 013-4,1,Negative,Fear,"ada parts yg kurang, sdh dicomplain & jelaskan di chat tp respon nya kurang coperative"
Toys and Hobbies,Tenda Bermain Anak Model Castle (BIRU/ PINK),1,Negative,Anger,"barang jelek, mudah sobek"
Kitchen,GOHAPPY PISAU SET PASTEL TAJAM BEAUTIFUL COLOR - 2011 pisau pink,3,Negative,Fear,"barang bagus, tapi estimasi tiba dilokasi tidak sesuai di aplikasi. semoga pelayanannya dapat ditingkatkan"
Books,[ORIGINAL] Satu-Satunya Buku EKG Yang Anda Perlukan 8e - Malcolm S.,5,Positive,Happy,pengiriman cepat dan buku aman
Tour and Travel,19 days ordinary dewasa Japan Rail JR Pass Shinkansen Jepang adult,5,Positive,Happy,"terima kasih atas pelayanan nya, sangat memuaskan."
Precious Metal,Logam Mulia LM 3 Gr ANTAM (REINVENTED),5,Positive,Love,mantappp djiwaaaaaa
Animal Care,Sisir Bulu Hewan Anjing Kucing - Premium Auto Clean Dog Slicker Brush - Hijau,5,Positive,Love,barangnya bagus mewah banget. udah dicoba jg bulu2 yg ngegumpal ke tarik jg. bagus pokoknya
Beauty,Jedai Jepit Rambut 5 Cm Ufa Thailand 2 warna 6 pcs - PAKET 24,2,Negative,Sadness,"bahannya plastik semua,ga seperti yang lain yang agak melamin dan berkilau"
Automotive,AntiFog Embun Besar Kaca Spion & Jendela Mobil Sticker Anti Fog Hujan - Spion 9.5x13.7,2,Negative,Sadness,barang nya tidak sesuai dgn anti fog embun besar kaca besar & jendela mobill yang ada hanya jendela mobil nya saja
Women's Fashion,Celana pendek wanita rayon polos adem variasi warna - WARNA 8,5,Positive,Happy,kualitas bahan bagus ??. nyaman dipakai ?. jahitannya rapi. ukuran sesuai. warnanya cantik ??. bahannya lembut. bahannya adem. tidak menerawang. bahan menyerap keringat.
Gaming,Nintendo Switch Zelda BOTW Breath of The Wild,5,Positive,Happy,"mantapp, paling terjangkau diantara seller lain, bener bener baru, sudah dimainkan tidak ada masalah"
Books,"Al-Quran Tajwid Bukhara ukuran A6, Alquran Syaamil saku resleting",1,Negative,Sadness,minta warna coklat dikirim hitam. bilangnya ready
Mother and Baby,MOOIMOM Breathable Hipseat Carrier Gendongan Bayi - Navy Blue,2,Negative,Fear,saya nyesel pake yg same day.. rugi dikirimnya lama
Body Care,Whisper Pembalut Wanita Regular Flow 40's,2,Negative,Sadness,"kecewa sekali, masa sekelas p&g packingnya kayak gini cuma dilapisi plastik bening udah tau pembalut wanita yang sifatnya privasi, pengirimannya juga lama"
Toys and Hobbies,Gasing StormyGyro Versi 2019 (Mirip Beyblade) - B44 Biru BB55,5,Positive,Happy,"baru juga dipesan langsung di proses,penjual ramah beyblade berputar kencang seperti dan juga harga lebih murah dari toko laen"
Household,KANTONG PLASTIK SAMPAH UKURAN 60x100 & 90x120 cm - 60x100,5,Positive,Love,"mantul banget response dan pelayanan seller ini lho!! ????????dalam kurun waktu 1 hari paketnya tiba di rumah, sepertinya tahu aja kalo emang ditungguin!!????"
Other Products,Liquid A La Carte Cream Poundcake 100ML Liquid Ala Carte Alacar - 3MG,1,Negative,Sadness,gak dapet enaknya maaff
Automotive,Masker 3 ply Hitam Full Black Orlee Medis 3ply Earloop Kemenkes 50 - Hitam,1,Negative,Anger,"penjual tidak amanah, minta masker warna abu dan hitam,di kirim abu semua"
Body Care,L'Oreal Professionnel Hairspa Deep Nourishing Shampoo - Rambut Kering,5,Positive,Happy,penjual cepat tanggap. barang cepat sampainya. terima kasih
Camera,Brica B-Steady PRO - BSteady PRO - Gimbal 3-Axis Stabilizer - PAKET STANDAR,3,Negative,Sadness,"produk yang saya terima kondisi motor sabliziernya kurang baik, al hasil video bukannya jadi mulus malah unstableized"
Carpentry,Mata Bor Set + Fisher - Mata Bor Besi Kayu Beton - Mata Bor JLD Tool,5,Positive,Happy,packaging aman dan bagus. barang sesuai deskripsi.
Tour and Travel,South Korea Simcard korea selatan sim card kartu data internet Seoul,5,Positive,Happy,"proses cepat, kartu sim card dapat digunakan di pulau jeju dengan lancar tanpa ada halangan, makasih kenikura ??"
Gaming,Game pass Ultimate 5 Bulan for Xbox one series X|S Windows 10 - 1 Bulan,5,Positive,Happy,bagi yang mau beli game pass bagus nih di toko ini. di layani sampai selesai . makasih ngab
Animal Care,Wood Pellet / Pelet Kayu / Alas Kandang 1 kg,1,Negative,Sadness,keras banget dan ukuran nya gede :( jadi nya dikit banget
Muslim Fashion,"Konektor Masker Hijab Polos, Renda Mutiara, Elastis - Putih",4,Positive,Happy,"bagus, mudah mudahan awet"
Toys and Hobbies,Fidget Pop It Toy Murah Rainbow Mainan Anak Penghilang Stress Tiktok - ICECONE Pastel,1,Negative,Anger,pesan model love yg dtang mickey.anak we jdi ngamuk.di cat ktanya ready yg love.klo ga ada bilang
Beauty,L'Oreal Paris Mascara Waterproof Lash Paradise Black,1,Negative,Anger,kw kirim brg bekas dan rusak serta tdk menerima komplain kapok bgt ga bkl lnja lg dsni
Kitchen,KAZU K100 Spon Nano Magic Pembersih Penghilang Kerak Noda Panci,1,Negative,Sadness,ternyata tdk seampuh iklannya... noda panci msh tetap ada
Party Supplies and Craft,HARGA GROSIR KEMBANG API ROMAN CANDLE 8 SHOTS 0.8' (SATUAN)!!,5,Positive,Happy,mantap barang sesuai pesanan
