Category,Product Name,Customer Rating,Sentiment,Emotion,text
Mother and Baby,Minyak Telon My baby 150 150ml,1,Negative,Sadness,"Sangat amat kecewa, tidak layak jual"
Kitchen,Carote EW Wajan Penggorengan Anti Lengket (Frypan) Batu Granit - 20CM,5,Positive,Happy,Kualitas Produk Bagus.
Household,Rak Sepatu Amazing Multifungsi Shoes Rack & Gantungan Hijab - HITAM - Putih,2,Negative,Fear,"raknya letoy bgt. kalo naro sepatu lebih dari 6 pasang takut roboh. kirain kuat, ternyata letoy bgt"
Women's Fashion,Daster Bali / Dress Bali / Daster Pelangi Jumbo fit to XXL,3,Negative,Sadness,"tidak sebagus di gambar, kain tepi di neci aja bukan di jahit lipat, ya harga segitu"
Automotive,"carburator cleaner atau pembersih karbu dan injeksi,RONEVE isi 500ml",1,Negative,Fear,"mohon maaf dikasih rating segini, karena barang yg dikirim tidak sesuai dan tidak ada follow up untuk penggantian barang, semoga kedepan dapat ditindak lanjuti, terima kasih banyak sebelumnya"
Women's Fashion,KK023 Kaos Kaki Pendek Japanese Cool Solid Line Wanita - GINGER,4,Positive,Happy,sesuai pesanan trmksi.
Kids and Baby Fashion,"Celana pendek anak laki laki motif polo oshkosh umur 1 - 12 tahun - S, Random",5,Positive,Love,"cakep.. beneran pas buat anak aq sesuai umur, next order lagee"
Food and Drink,The OG - 10 pcs,5,Positive,Happy,INI COOKIES TERENAK DIMULUTKU??
Toys and Hobbies,Nezuko Kimetsu No Yaiba Nude Version Action Figure,5,Positive,Love,Cantik Banget
Health,Blackmores Bio C 1000mg (90),1,Negative,Sadness,"Super kecewa, botolnya pecah sampe bikin tangan luka, chat penjual katanya salah kurir, bikin komplain susah krn ga divideoin, kl liat packingnya cm pake bubble wrap tipis, wajar kl pecah krn di dlm kotak agak longgar krn cm ngandelin bubble wrap dikit aja. Kappk lah belanja disini lg. Terpaksa nyari toko lain ato merk lain utk kebutuhan vitamin"
Computers and Laptops,SSD 128GB RX7 GARANSI RESMI 3THN,1,Negative,Sadness,Kecepatan tdk sesuai dgn deskripsi
Health,Imboost Kids Syrup Daya Tahan Tubuh - 120ml,5,Positive,Happy,Tq paket na sudah sampe smoga soho sering2 promo ya ??
Men's Fashion,"baju tidur pria / piyama cowok dewasa aneka motif - kotak 8, XXXL",5,Positive,Happy,"Terima kasih paketnya sudah sampai.. Barangnya bagus banget, sesuai dengan foto, dan muat pakai baju ini.. Senang banget ???????? Ramah orangnya juga ??"
Kitchen,SANEX KOMPOR PORTABLE / PAKET GAS PORTABLE HI-COOK 230 GRAM (1 TUNGKU) - Merah,2,Negative,Sadness,"Dudukan tatakan kompornya diterima sudah patah.. Akhirnya harus ke tukang las, benerin lg.. Keluar duit lg"
Party Supplies and Craft,Kardus untuk keamanan packing,1,Negative,Fear,Untuk toko berstatus OFFICIAL STORE toko ini tidak profesional... saya chatt ketersediaan barang tanggal 10 desember jam 2 pagi dan di jawab oleh admin barang ready jam 8 pagi. seketika saya Toko anda tidak akan melayani buyer yang memberi rating jelek sementara toko anda sendiri tidak proferional...order... ternyata sampai sore barang tidak di kirim dan baru tanggal 11 desember jam 10 siang di info kalau barang kosong.. order saya baru di kirim tanggal 12 desember.. anda menyarankan order packing tambahan demi keamanan saat pengiriman dan itu sudah saya penuhi... padhal di toko lain tanpa ada biaya tambahan packing sudah menggunakan kardus itupun harganya barangnya lebih murah... sebagai buyer saya cukup sekali ini saja transaksi di toko ini... terima kasih....
Computers and Laptops,Mediatech Gaming Headset / Headphone Zeus MSH 016 - Merah,1,Negative,Fear,Suara kecil sebelah.. ini produk bermasalah kaulitas kontrolnya. Gak rekomen.
Animal Care,Cupang Hias Halfmoon Male / Betta Fish Halfmoon - Random,5,Positive,Happy,"Barang sudah sampai dan ikannya masih sehat dan selamat,makasih"
Women's Fashion,"CELANA KERJA WANITA FORMAL CELANA KANTOR PINGGANG KARET JUMBO - Hitam, M",2,Negative,Fear,penjual jawab pertanyaan pelanggan kurang sopan
Mother and Baby,Pediasure Vanila 1800g (1-10 tahun) Susu Formula Pertumbuhan - 2 Pack,5,Positive,Happy,"selalu puas beli disini, cepet sampai packing rapih dpt hadiah pula"
Food and Drink,Roasted Bean Premium Robusta Natural Tuang Coffee 1kg - Giling Halus,1,Negative,Anger,ini kok belum di ulas sih kan saya mintanya tumbuk halus bener2 parah...... !!
Camera,"green screen bahan kain spunbond - Orange, 75 gram",5,Positive,Love,"Luarbiasaaa.. udh 2x beli di toko ini.. Penjualnya ngerti kebutuhan sy butuh Urgent, hari Minggu tetap dihandle pdhl hrsnya libur dan pake Sameday tp nyampenya ekspress dari JakSel - Bekasi... Puji Tuhan !!! Thanks so much Seller dan Kurir Sameday, Gbu ????????????"
Computers and Laptops,Huion H430P Graphic Drawing Tablet OSU Alternati H420 H640P HS64 S640 - Tablet,5,Positive,Love,"luar biasa, packing di jamin aman, pakai bubblewrap. cepet banget prosesnya. senin malam cekout, paginya kirim, hari ini rabu sore sampai. sangat cepat. sangat puas. terimakasih, sukses selalu yah tech cube"
Food and Drink,gepuk karwati ayam (oleh-oleh food) makanan khas - Original,1,Negative,Sadness,"Maaf sebelumnya, bknnya sy mau menjelekan produk. tp sy kecewa salah satu gepuk toples warna merah stlah 2hr ko sudah berjamur, pdhl 2 toples yg lainnya masih wenak bgtzz gepuknya"
Carpentry,Sticker Wallpaper Dinding 3d Foam Bata Putih dekorasiWallpaper Dinding - Putih,1,Negative,Fear,barang kurang 2 pcs yg dtg Dan kualitasnya jelek sekali Dari bahannya potongan yg g rapi Dan ketelabalan yg g sesuai 4-5 mm Di deskripsinya ternyata g sampai setebal itu
Food and Drink,Pie Susu Dhian Bali,1,Negative,Fear,"Pie susunyabberjamur, padahal baru disimpan sekitar semingguan dan expiry date masih sebulan. Biasanya kalo beli di bali ga kayak gitu, ya biar temen2 yang beli pie susu nya aware aja ya. Sedih juga udah disayang2 makannya, eh pas mau makan ternyata jamuran, terpaksa dibuang ???? Udah chat juga ke sellernya, katanya karena ga dimasukin ke kulkas. Tp dulu pas beli di bali jg ga masukin kulkas sih... FYI aja buat temen2 yg mo beli yah"
Office & Stationery,"Stempel Warna Flash I Otomatis Design Custom - kecil, 1 warna",5,Positive,Love,"Pelayanan ramah, design maksimal, hasil sesuai harapan. recommended.."
Other Products,PACKING DUS + BUBBLE - TAMBAHAN DUS + BUBBLE,5,Positive,Happy,"Makasih ,, barang jadi aman sampai di tujuan,"
